,book_name,author,publication,publication_year,availability,pages,shipping_time,language,price,binding,cover,about_book,page_link,cluster
16,100 BEST LOVE POEMS OF ALL TIMES,Om Books Editorial Team,OM BOOKS INTERNATIONAL,2021,Out of Stock,182,Same Day Dispatch,English,156,Paperback,https://cms.buybooksindia.com/uploads/books/9789353764142.jpg,"Poetry, an art form that is distinguished by rhythm, rhyme, intensity of feeling, compression, and the use of refrains, is as old as human civilization. It is widely believed that poetry originated in song. Pre-literate societies used poetry to tell stories, record oral history and other forms of knowledge such as genealogy and law. Most of the world's scriptures are composed of poems rather than prose. Poets have been writing about love from time immemorial. Their compositions, seeped in the many shades of love, encompass a gamut of intense bonds including friendship, romantic love, parental love, spiritual love, love of King and country, and love of nature. 100 Best love poems of all time features some of the finest love poems written by masters of the form across the ages. Sappho, Horace, Ovid, Dante Alighieri’s, Christopher Marlowe, William Shakespeare, Ben Jonson, John Donne, Aphra Behn, John Keats, William Blake, William Wordsworth, Samuel Taylor Coleridge, Heinrich heine, Victor Hugo, Alfred Lord Tennyson, Edgar Allan Poe, Walt Whitman, James Joyce, Thomas Hardy, Emily Dickinson, Christina Rossetti, Kahlil Gibran, Rabindranath Tagore, Rainer Maria Rilke, Sara Teasdale, Sarojini Naidu, W.B. Yeats, and a host of other wordsmiths br>tug at the reader heartstrings in this collection.",https://www.buybooksindia.com/100-best-love-poems-of-all-times-9789353764142-30246.htm,low range
18,100 Days of Sunlight,Abbie Emmons,Abbie Emmons Inc.,2019,Available,326,Usually Ships 20-25 Days,English,1200,Paperback,https://cms.buybooksindia.com/uploads/books/9781733973311.jpg,"When 16-year-old poetry blogger Tessa Dickinson is involved in a car accident and loses her eyesight for 100 days, she feels like her whole world has been turned upside-down. Terrified that her vision might never return, Tessa feels like she has nothing left to be happy about. But when her grandparents place an ad in the local newspaper looking for a typist to help Tessa continue writing and blogging, an unlikely answer knocks at their door: Weston Ludovico, a boy her age with bright eyes, an optimistic smile...and no legs. Knowing how angry and afraid Tessa is feeling, Weston thinks he can help her. But he has one condition -- no one can tell Tessa about his disability. And because she can't see him, she treats him with contempt: screaming at him to get out of her house and never come back. But for Weston, it's the most amazing feeling: to be treated like a normal person, not just a sob story. So he comes back. Again and again and again. Tessa spurns Weston's ""obnoxious optimism"", convinced that he has no idea what she's going through. But Weston knows exactly how she feels and reaches into her darkness to show her that there is more than one way to experience the world. As Tessa grows closer to Weston, she finds it harder and harder to imagine life without him -- and Weston can't imagine life without her. But he still hasn't told her the truth, and when Tessa's sight returns he'll have to make the hardest decision of his life: vanish from Tessa's world...or overcome his fear of being seen. 100 Days of Sunlight is a poignant and heartfelt novel by author Abbie Emmons. If you like sweet contemporary romance and strong family themes then you'll love this touching story of hope, healing, and getting back up when life knocks you down.",https://www.buybooksindia.com/100-days-of-sunlight-9781733973311-64193.htm,mid range
22,"100 Selected Poems, Emily Dickinson: Collectable Hardbound Edition",Emily Dickinson,FINGERPRINT PUBLISHING,2019,Available,224,Usually Ships 1-3 Days,English,265,Hardcover,https://cms.buybooksindia.com/uploads/books/9789389717594.jpg,"One of the most striking American lyric poet, Emily Dickinson came to be known only after she passed away. This collectable edition brings together her finest poems including ?heart! We will forget him!? (47), ?Success is counted sweetest? (67), ??hope? is the thing with feathers? (254), ?I?m nobody! Who are you?? (288), ?The soul selects her own society? (303), ?I measure every grief I meet? (561), ?because I could not stop for death? (712), ?My life had stood ? a loaded gun? (754), and ?Rearrange a ?wife?s? affection!? (1737). Dickinson did not give titles to her poems. They are known either by the first line of the poem or the numbers allotted to them in the Thomas H. Johnson?s edition, the poems of Emily Dickinson. We have used the numbers to identify the poems. A Specimen of her exquisite craftsmanship, each poem gives an insight into dickinson?s life and the emotions she experienced.",https://www.buybooksindia.com/100-selected-poems-emily-dickinson-collectable-hardbound-edition-9789389717594-49682.htm,low range
23,"100 Selected Poems, John Keats: Collectable Hardbound Edition",JOHN KEATS,FINGERPRINT PUBLISHING,2019,Available,524,Usually Ships 1-3 Days,English,299,Paperback,https://cms.buybooksindia.com/uploads/books/9789389178470.jpg,"One of the most notable romantic poets of the early nineteenth century, John Keats had a poetic career lasting less than a decade. And in this short time, he produced some of the greatest verses of all time. This collectable edition brings together his early poems along with his finest sonnets and remarkably flawless ODEs composed in the years before his death. It includes ?imitation of Spenser?, ?to Lord Byron?, ?calidore: a fragment?, ?Oh! How I love, on a fair summer?s Eve?, ?I stood tip-toe upon a little Hill?, ?sleep and poetry?, endymion, ?Isabella?, ?lamia?, his beautiful lyric ODEs composed in 1819, and both the versions of hyperion. Each poem is a Specimen of his vibrant imagination, sensational lyric, and thoughtful recognition and appreciation of beauty in everything.",https://www.buybooksindia.com/100-selected-poems-john-keats-collectable-hardbound-edition-9789389178470-50924.htm,low range
24,"100 Selected Poems, W. B. Yeats",W. B. Yeats,,2018,Available,308,Usually Ships 1-3 Days,English,299,Hardcover,https://cms.buybooksindia.com/uploads/books/9789388369756.jpg,"The mastermind behind the Irish literary Renaissance, William Butler Yeats had a remarkable literary career spanning across five decades. This collectable edition brings together his early poems along with some of his finest verses composed in the years following his Nobel Prize. It includes The Wanderings of Oisin, â€˜The Sad Shepherdâ€™, â€˜The Stolen Childâ€™, â€˜The Lake of Innisfreeâ€™, â€˜The Sorrow of Loveâ€™, â€˜When You Are Oldâ€™, â€˜An Irish Airman foresees his Deathâ€™, â€˜The Second Comingâ€™, â€˜Sailing to Byzantiumâ€™, â€˜Leda and the Swanâ€™ and â€˜Byzantiumâ€™. Each poem gives an insight into Yeatsâ€™ beliefs, philosophy and also the times in which he wrote. Each is a specimen of his exquisite craftsmanship.",https://www.buybooksindia.com/100-selected-poems-w-b-yeats-9789388369756-50190.htm,low range
25,"100 Selected Poems, William Wordsworth",William Wordsworth,,2018,Available,608,Usually Ships 1-3 Days,English,374,Hardcover,https://cms.buybooksindia.com/uploads/books/9789387779242.jpg,"As the world moved from the Age of Enlightenment to Romanticism at the close of the eighteenth and beginning of the nineteenth century, William Wordsworth emerged as one of the most powerful and significant poets of the era. This collectable edition is a compilation of some of his finest masterpieces along with some of his lesser known poems. It includes ?Old Man Travelling?, ?Lines Written in Early Spring?, ?Lines Written a Few Miles above Tintern Abbey?, ?A Solitary Reaper?, ?I wandered lonely as a Cloud (Daffodils)? and ?To a Sky-Lark? among his other choicest poems. Also included is Wordsworth?s ?Preface to the Lyrical Ballads? from the second edition of 1800 and the appendix titled ?Poetic Diction? from the edition of 1802. Each poem will enhance the readers? imagination, coaxing them to interpret it as per their own reasoning and depth of understanding.",https://www.buybooksindia.com/100-selected-poems-william-wordsworth-9789387779242-50016.htm,low range
27,100 Worldâ's Greatest Love Letters: Collectable Edition,FINGERPRINT PUBLISHING,FINGERPRINT PUBLISHING,2019,Available,264,Usually Ships 1-3 Days,English,250,Paperback,https://cms.buybooksindia.com/uploads/books/9789388369961.jpg,"There was a time when people communicated through lettersâ€”and when it came to expressing their love, the correspondence brimmed with heartwarming, endearing love letters. Sometimes these letters were beginnings of tempestuous, controversial, clandestine love affairs and soon cultivated into relationships that lasted a lifetime, and at other times they were mere feverish rants, the intensity diminishing as soon as it had escalated. No matter who they wereâ€”scholars, kings, queens, writers, paintersâ€”they all fell passionately and irrevocably in love, their letters capturing their happiness, longing, insecurity, and even suspicion and distrust. We bring together a treasure trove of hundred beautiful letters from around the world in our edition. Beginning with pliny the younger, the magistrate of ancient Rome, pining for his wife as he lay awake at night, and ending with Virginia Woolfâ€™s confession that her lady loveâ€™s mere presence was intoxicating and even â€˜physically stimulatingâ€™, the letters are accompanied by their profound love stories, telling a tale of how their love began, what turmoil it faced, and in some cases, why it ended",https://www.buybooksindia.com/100-world-s-greatest-love-letters-collectable-edition-9789388369961-52579.htm,low range
28,100 Worldâ'S Greatest Speeches : Collectable Edition,FINGERPRINT PUBLISHING,FINGERPRINT PUBLISHING,2018,Available,234,Usually Ships 1-3 Days,English,227,Paperback,https://cms.buybooksindia.com/uploads/books/9789387779402.jpg,"When John F. Kennedy stood in front of his countrymen and inspired them to ask themselves what they could do for their country, when Subhash Chandra Bose demanded blood for freedom, when Frederick Douglass scoffed at the irony of a black man speaking at the Fourth of July celebrations, the power of their spoken word left their audience spellbound. Taking you on a journey into the world of rhetoric, this priceless edition encapsulates speeches that have lasted through the ages. From those delivered to make peace to those delivered during wars, from religious orations to political oratory, this edition features iconic personalities such as Pericles, Queen Elizabeth, George Washington, Abraham Lincoln, Emmeline Pankhurst, Mahatma Gandhi, Nelson Mandela, Barack Obama and many more.",https://www.buybooksindia.com/100-world-s-greatest-speeches-collectable-edition-9789387779402-49659.htm,low range
30,1000+ Little Things Happy Successful People Do Differently,Julian Barnes,Random House UK,2019,Available,368,Same Day Dispatch,English,449,Paperback,https://cms.buybooksindia.com/uploads/books/9780593327821.jpg,"Millions of readers turn to Marc and Angel Chernoff for fresh, intimate insights for a fulfilled life. In this pithy and empowering guide, they collect the very best advice theyâ€™ve discovered, on topics that include overcoming setbacks, letting go of whatâ€™s holding us back, nurturing relationships, finding time for self-care, and cultivating passion in order to achieve our wildest dreams. Topics include: 10 Mistakes Unhappy People Make 28 Ways to Stop Complicating Your Life 12 Tough Truths That Help You Grow 12 Amazingly Achievable Things to Do Today 10 Timeless Lessons for a Life Well-Lived",https://www.buybooksindia.com/1000-little-things-happy-successful-people-do-differently-9780593327821-50296.htm,low range
33,101 Great Personalities who Change the World,A.K. Gandhi,Prabhat Prakashan Pvt. Ltd.,2016,Available,232,Same Day Dispatch,English,160,Paperback,https://cms.buybooksindia.com/uploads/books/9789351866206.jpg,"Many take birth in this world and leave without leaving a mark. It is the ones who have left footprints on the sands of time that are remembered. They are the great people who have achieved something and inspired thousands. They are the people who have strived and contributed to the world and society at large. This book is the saga of such hundred and one personalities and highlights their contribution in their respective fields. It throws light on the achievements of those who had the courage to follow their own heart and convictions, even when opposed. Their revolutionary ideas brought a change and shaped the course of history.",https://www.buybooksindia.com/101-great-personalities-who-change-the-world-9789351866206-21715.htm,low range
34,101 Great Personalities who Change the World,A.K. Gandhi,Prabhat Prakashan Pvt. Ltd.,2017,Available,232,Same Day Dispatch,English,450,Hardcover,https://cms.buybooksindia.com/uploads/books/9789351866060.jpg,"Many take birth in this world and leave without leaving a mark. It is the ones who have left footprints on the sands of time that are remembered. They are the great people who have achieved something and inspired thousands. They are the people who have strived and contributed to the world and society at large. This book is the saga of such hundred and one personalities and highlights their contribution in their respective fields. It throws light on the achievements of those who had the courage to follow their own heart and convictions, even when opposed. Their revolutionary ideas brought a change and shaped the course of history.",https://www.buybooksindia.com/101-great-personalities-who-change-the-world-9789351866060-21714.htm,low range
36,101 Monologues for Middle School Actors,Rebecca Young,Pioneer Drama Service,2008,Available,158,Usually Ships 20-25 Days,English,1272,Paperback,https://cms.buybooksindia.com/uploads/books/9781566081559.jpg,"Middle school performers are often reluctant to jump up in front of their peers and start performing. That's why having the perfect material for them is a must! Rebecca Young knows how middle schoolers think and act -- and what they like to talk about! This book was written specifically for middle school performers -- about topics they can relate to in a language style they understand. A wide variety of topics to fit any student's personality allows young actors to choose from either humorous or dramatic selections. The duologues and triologues should not be confused with scenes for two or three actors. Instead, they consist of a pair or trio of monologues on the same topic, but from different perspectives! These monologues, duologues, and triologues may be used for auditions, classroom assignments, or discussion starters. Many of the monologues are adaptable for guys or girls, making this book even more valuable as a resource!",https://www.buybooksindia.com/101-monologues-for-middle-school-actors-9781566081559-62763.htm,mid range
38,10lb Penalty,Dick Francis,Pan Macmillan,1998,Available,320,Same Day Dispatch,English,899,Paperback,https://cms.buybooksindia.com/uploads/books/9780330370011.jpg,"At his best, Francis can make you feel the hot breath of horses on the back of your neck' Michael Dobbs, Express on Sunday Damaging allegations cost young Benedict Juliard his hopes of a career as a steeplechase jockey. Instead he's forced to join ranks alonside his father, a high-flying businessman battling a Dorset by-election for a street level entry into politics. The campaign gets off to a flying start. But this time the obstacles ahead aren't just dangerous - they're lethal. Horses, politics, lies and treachery. They can all carry the maximum 10lb penalty. And, as any jockey knows, a 10lb penalty can be a killer.",https://www.buybooksindia.com/10lb-penalty-9780330370011-70825.htm,low range
39,10th Anniversary,James Patterson,Arrow Books Ltd,2012,Available,512,Same Day Dispatch,English,837,Paperback,https://cms.buybooksindia.com/uploads/books/9780099570745.jpg,"Detective Lindsay Boxer's long-awaited wedding celebration becomes a distant memory when she is called to investigate a horrendous crime: a badly injured teenage girl is left for dead, and her newborn baby is nowhere to be found. Lindsay discovers that not only is there no trace of the criminals - but that the victim may be keeping secrets.",https://www.buybooksindia.com/10th-anniversary-9780099570745-67509.htm,low range
40,112 Meditations for Self Realization:Vigyan Bhairava Tantra,Ranjit Chaudhri,FINGERPRINT PUBLISHING,2014,Available,248,Usually Ships 1-3 Days,English,224,Paperback,https://cms.buybooksindia.com/uploads/books/9788172344917.jpg,"The Vigyan Bhairava Tantra is one of yoga's most important texts. It is an ancient text on yoga and meditation revealed by God centuries ago. It was written to show mankind how to reach a state of enlightenment. The Vigyan Bhairava Tantra contains a great deal of practical wisdom. It shows people how to overcome suffering and find peace and joy in their lives. Although written centuries ago, the message of The Vigyan Bhairva Tantra is eternal. It was meant for all times.",https://www.buybooksindia.com/112-meditations-for-self-realization-vigyan-bhairava-tantra-9788172344917-49976.htm,low range
41,12 21 Air Exp,Dustin Thomason,Penguin UK,2012,Available,336,Same Day Dispatch,English,382,Paperback,https://buybooksindia.s3.amazonaws.com/product/9780718159719-1661253562.jpg,"An ancient prophecy foretells that the world will end on 21 December 2012 . . . In Central America, a treasure hunter discovers a Mayan relic - a mysterious and ornate codex - but when he smuggles it into the US, he brings with him an old and deadly secret . . . Early in December 2012, the codex comes to Chel Manu, a Mayan world authority. She is torn between the chance to translate the codex herself and her duty to alert the authorities. Meanwhile, in an LA hospital, an unknown man is dying of a rare, contagious disease. When Dr Gabriel Stanton is called in, he realises that this is no ordinary infection - and it will spread uncontrollably. Stanton and Chel must race to decipher the codex's secrets and prevent the prophesised apocalypse",https://www.buybooksindia.com/12-21-air-exp-9780718159719-72411.htm,low range
42,12 Years A Slave : A True Story,Solomon Northup,FINGERPRINT PUBLISHING,2017,Available,208,Usually Ships 1-3 Days,English,163,Paperback,https://cms.buybooksindia.com/uploads/books/9788175994478.jpg,"Born into “the blessings of liberty in a free State,” Solomon Northup was kidnapped and sold into slavery in the Bayou Boeuf region of Louisiana’s Red River Valley. Twelve Years a Slave is the chronicle of his captivity at the mercy of sadistic plantation owner Edwin Epps, who tested Northup’s tenacity and self-control under the most brutal conditions. Until fate brought a Canadian abolitionist to Epps’s farm, Northup thought he would never draw another free breath. To this day Northup’s harrowing memoir is recognized as the most reliable, accurate eyewitness account of the daily lives of slaves. As a significant historical reference, it is unsurpassed. As an authentic narrative of a man starved of his freedom, it is unforgettable. AmazonClassics brings you timeless works from iconic authors. Ideal for anyone who wants to read a great work for the first time or revisit an old favorite, these new editions open the door to the stories and ideas that have shaped our world. Revised edition: Previously published as Twelve Years a Slave, this edition of Twelve Years a Slave (AmazonClassics Edition) includes editorial revisions.",https://www.buybooksindia.com/12-years-a-slave-a-true-story-9788175994478-49316.htm,low range
43,13 Steps to Bloody Good Health,Ashwin Sanghi,,2019,Out of Stock,200,Same Day Dispatch,English,200,Paperback,https://cms.buybooksindia.com/uploads/books/9789387894686_0_1626427636.jpeg,"It is tragic that we get old too soon and wise up to life too late. There’s so much we could—and should—have done to get to this point in better shape.
The question is: what should we do now?
But health remedies are dime-a-dozen, each one contradicting another. As an old Chinese proverb goes: ‘It is easy to get a thousand prescriptions but hard to get one single remedy.’ How does one negotiate that tricky terrain?
 This book has all the answers. In the patented, no-nonsense style of the 13 Steps series, it brings together scientifically sound advice in a non-judgemental course-correction guide. 13 Steps to Bloody Good Health is an easy, doable path to good health—step by step.",https://www.buybooksindia.com/13-steps-to-bloody-good-health-9789387894686-33368.htm,low range
45,13 STEPS TO BLOODY GOOD LUCK,Ashwin Sanghi,,2014,Out of Stock,176,Same Day Dispatch,English,200,Paperback,https://cms.buybooksindia.com/uploads/books/9789384030575_0_1626423871.jpeg,"The journey of life isn’t exactly easy. Some people make it through hard work and talent. Some fall by the wayside. And some people are just plain lucky. They are blessed with Bloody Good Luck! But is it possible to attract good luck? Can we train ourselves to be lucky? Apparently, it seems that Dame Luck isn’t that fickle. She is well within our reach. In his first non-fiction foray, bestselling author Ashwin Sanghi explores that critical, much-longed-for element called luck. Through entertaining and informative anecdotes, narrations of personal experiences, and vignettes of homespun wisdom, Ashwin gives us a whole new insight into how people can work towards being lucky. It seems that luck isn’t entirely the twist of fate that it is made out to be! Almost inspirational like Robin Sharma, Dale Carnegie, or Spencer Johnson, Ashwin Sanghi shows us a brand new side to his writing in this particular book.",https://www.buybooksindia.com/13-steps-to-bloody-good-luck-9789384030575-33358.htm,low range
47,13 Steps to Bloody Good Marks,Ashwin Sanghi,,2017,Out of Stock,142,Same Day Dispatch,English,128,Paperback,https://cms.buybooksindia.com/uploads/books/9789386224767_0_1626425808.jpeg,"Students who get good marks are those who are brilliant or those who are cram. True or False?False! There are also students who simply study smart.The Indian education system is a minefield. Negotiating this minefield and emerging with flying colors is a source of great strain and anxiety for Indian pupils and parents alike. Who can guide students to develop good study habits and thus get better results?Enter 13 steps to bloody good marks.After the stupendous success of 13 Steps to Bloody Good Luck and 13 Steps to Bloody Good Wealth, bestselling author Ashwin Sanghi (along with co-author, Ashok Rajani) presents a power-packed little book that provides simple, straightforward, and effective steps that are a sure-fire way to obtain Bloody Good Marks!",https://www.buybooksindia.com/13-steps-to-bloody-good-marks-9789386224767-33363.htm,low range
48,13 Steps to Bloody Good Parenting,Ashwin Sanghi,,2019,Out of Stock,172,Same Day Dispatch,English,200,Paperback,https://cms.buybooksindia.com/uploads/books/9789387578784_0_1626418803.jpeg,"A WISE MAN ONCE SAID, ‘BEFORE I GOT MARRIED, I HAD SIX THEORIES ABOUT BRINGING UP CHILDREN. NOW I HAVE SIX CHILDREN AND NO THEORIES.’
In this age of hyper-information, parenting is much like tap-dancing in a minefield. There was a time when parents had nothing to draw from except for their experiences with their own parents. But today, there is information overload and conflicting advice from multiple ‘experts’.
HOW ARE PARENTS TO NAVIGATE THIS JUNGLE OF COUNSEL AND STILL RETAIN THEIR SANITY?
The short answer: common sense. 13 Steps to Bloody Good Parenting uses wit and prudence to show that parenting is not an exercise in theories but about learning on the job. In the patented, no-frills style of the 13 Steps series, the book cuts right through the din of information and advice.
Parenting is a huge responsibility. With 13 Steps to Bloody Good Parenting, it can become a more thoughtful and enjoyable one.",https://www.buybooksindia.com/13-steps-to-bloody-good-parenting-9789387578784-33351.htm,low range
